Id,DateTime,Title,Artist,Likes,Comments,Streams,Position
1686547210019,2023-06-12 05:20:13,Tedua - Diluvio A Luglio (feat. Marracash) [Official Lyrics Video],Tedua,10412,216,498616,42
1686547214618,2023-06-12 05:20:13,The Kolors - ITALODISCO (Lyric Video),The Kolors,9602,405,1352009,43
1686547215919,2023-06-12 05:20:13,Black Eyed Peas- Daddy Yankee - BAILAR CONTIGO (Official Music Video),Black Eyed Peas- Daddy Yankee,173289,11142,26110585,44
1686547212485,2023-06-12 05:20:13,Tedua - Bagagli (Improvvisazione) [Official Lyrics Video],Tedua,10677,275,482757,45
1686547212344,2023-06-12 05:20:13,Medy feat. Capo Plaza - Arai (Official Video),Medy feat. Capo Plaza,33624,480,5644360,46
1686547213880,2023-06-12 05:20:13,Emma - MEZZO MONDO,Emma,13542,865,1504333,47
1686547212827,2023-06-12 05:20:13,wax - Anni 70 (Official Visual Video),wax,12535,470,1278703,48
1686547207279,2023-06-12 05:20:13,Tedua - Anime Libere (feat. Rkomi- Bresh) [Official Lyrics Video],Tedua,8934,163,521255,49
1686547214146,2023-06-12 05:20:13,Luiz Ejlli - Përjetësisht (Lyric Video),Luiz Ejlli,88217,5329,4399719,50
1686549011925,2023-06-12 05:50:17,Annalisa - Mon Amour (Official Video),Annalisa,113077,5978,23861477,1
1686549009228,2023-06-12 05:50:17,Angelina Mango - Ci pensiamo domani (Official Lyric Video),Angelina Mango,60474,1670,9152601,2
1686549018319,2023-06-12 05:50:17,AVA- ANNA- Capo Plaza - VETRI NERI (Official Visual),AVA- ANNA- Capo Plaza,45703,705,4829208,3
1686549014917,2023-06-12 05:50:17,Marco Mengoni - Due Vite (Official Video - Sanremo 2023 – Eurovision 2023),Marco Mengoni,360991,14804,69081284,4
1686549018321,2023-06-12 05:50:17,BLANCO- MINA - Un Briciolo Di Allegria,BLANCO- MINA,112864,4575,16432115,5
1686549012602,2023-06-12 05:50:17,Geolier - COME VUOI (Official Video),Geolier,87495,1024,17664762,6
1686549018459,2023-06-12 05:50:17,Lazza - CENERE,Lazza,245186,6105,46568892,7
1686549011928,2023-06-12 05:50:17,Tedua - Hoe (feat. Sfera Ebbasta) [Official Lyrics Video],Tedua,29064,739,1852424,8
1686549013905,2023-06-12 05:50:17,Geolier - IL MALE CHE MI FAI (Visual Video) ft. Marracash,Geolier,66055,890,12902349,9
1686549012582,2023-06-12 05:50:17,Fedez- Annalisa- Articolo 31 - DISCO PARADISE (Visual Video),Fedez- Annalisa- Articolo 31,32567,2659,3227460,10
1686549014830,2023-06-12 05:50:17,Mr.Rain - SUPEREROI (Official Video) [Sanremo 2023],Mr.Rain,262622,7749,37982015,11
1686549012381,2023-06-12 05:50:17,Rocco Hunt - Non litighiamo più (Official Video),Rocco Hunt,42233,622,9147965,12
1686549012105,2023-06-12 05:50:17,Baby Gang - Cella 4 [Official Video],Baby Gang,150392,3389,6054400,13
1686549016426,2023-06-12 05:50:17,AriBeatz- Ozuna- Sfera Ebbasta- GIMS - MIRAGE (Official Animation Video),AriBeatz- Ozuna- Sfera Ebbasta- GIMS,75633,1603,7897949,14
1686549014426,2023-06-12 05:50:17,Rocco Hunt- Elettra Lamborghini- Lola Indigo - Caramello (Official Video),Rocco Hunt- Elettra Lamborghini- Lola Indigo,244839,20117,81580363,15
1686549012382,2023-06-12 05:50:17,Rhove - Pelé,Rhove,84231,1752,8421912,16
1686549015049,2023-06-12 05:50:17,Tedua - Paradiso Artificiale (feat. Baby Gang- Kid Yugi) [Official Lyrics Video],Tedua,20558,653,1121482,17
1686549011017,2023-06-12 05:50:17,Finesse - Gelosa ft. Shiva- Sfera Ebbasta- Guè (Official Video),Finesse,63852,997,11937135,18
1686549018604,2023-06-12 05:50:17,Geolier - X CASO ft. Sfera Ebbasta (Visual Video),Geolier,93913,1155,23763729,19
1686549011296,2023-06-12 05:50:17,Marco Mengoni- Elodie - Pazza Musica (Official Video),Marco Mengoni- Elodie,37473,11240,2645844,20
1686549012303,2023-06-12 05:50:17,Geolier - CHIAGNE ft. Lazza- Takagi & Ketra (Visual Video),Geolier,101085,1570,23440763,21
1686549017178,2023-06-12 05:50:17,Tedua - Malamente [Official Lyrics Video],Tedua,15796,260,892262,22
1686549011485,2023-06-12 05:50:17,Tedua - Mancanze Affettive (feat. Geolier) [Official Lyrics Video],Tedua,15278,218,847543,23
1686549017424,2023-06-12 05:50:17,Annalisa - Bellissima (Official Video),Annalisa,177820,11353,38757539,24
1686549017022,2023-06-12 05:50:17,Tananai - TANGO,Tananai,175587,5798,20142216,25
1686549011785,2023-06-12 05:50:17,Achille Lauro- Rose Villain - Fragole (Official Video),Achille Lauro- Rose Villain,15290,601,1818177,26
1686549016939,2023-06-12 05:50:17,Madame - IL BENE NEL MALE (Sanremo 2023),Madame,111647,4564,23738137,27
1686549015136,2023-06-12 05:50:17,Boomdabash- Annalisa - Tropicana,Boomdabash- Annalisa,214495,7853,60035491,28
1686549015866,2023-06-12 05:50:17,Ciccio Merolla - Malatìa (Napoli Version),Ciccio Merolla,29136,19,4357756,29
1686549013690,2023-06-12 05:50:17,Tedua - Red Light [Official Lyrics Video],Tedua,11381,210,657424,30
1686549020743,2023-06-12 05:50:17,Baby Gang - Napoletano [Official Lyric Video],Baby Gang,28288,656,1682831,31
1686549018365,2023-06-12 05:50:17,Tedua - Volgare (feat. Lazza) [Official Lyrics Video],Tedua,11032,202,669455,32
1686549012474,2023-06-12 05:50:17,QUEVEDO || BZRP Music Sessions #52,QUEVEDO || BZRP Music Sessions #52,5593704,155681,533338172,33
